TURRTNT_FIX_INTTRTST_ARTA_LABTL	TURRTNT_FIX_START	TURRTNT_FIX_TND	取点	占比				
O	6215	6463					4830	0
O	6503	6861					4840	0
O	6916	7369					4850	0
T	7397	7605					4860	0
O	7649	7842					4870	0
O	7	157					4880	0
O	296	432					4890	0
O	474	709					4900	0
O	766	891					4910	0
O	951	1138					4920	0
O	1158	1381					4930	0
T	1715	2005					4940	0
T	2039	2321					4950	0
T	2380	2543					4960	0
T	2571	2889					4970	0
T	2912	3262					4980	0
T	3285	3484					4990	0
O	3655	3845					5000	0
O	3871	4047					5010	0
O	4103	4363					5020	0
O	4386	4861					5030	0
O	4918	5199					5040	1
O	5243	5607					5050	0
O	5664	5962					5060	0
O	6015	6157					5070	0
O	6346	6539					5080	0
O	6568	6771					5090	0
O	6814	7074					5100	0
O	7378	7623					5110	0
O	7656	7896					5120	0
T	8043	8091					5130	0
T	7	248					5140	0
O	291	454					5150	0
O	477	695					5160	0
O	719	803					5170	0
T	844	1094					5180	0
T	1120	1823					5190	0
T	1882	2130					5200	0
T	2173	2359					5210	0
T	2408	2676					5220	0
T	2690	3056					5230	0
O	3090	3261					5240	0
O	3285	3681					5250	0
T	3873	4037					5260	0
O	4072	4220					5270	0
T	4248	4508					5280	0
T	4564	4797					5290	0
T	4822	5176					5300	0
T	5192	5694					5310	1
O	5729	5939					5320	0
O	5953	6139					5330	0
O	6162	6421					5340	0
O	6455	6778					5350	0
O	6806	6970					5360	0
O	7031	7495					5370	0
O	7533	7706					5380	0
O	7752	7960					5390	0
T	7	349					5400	0
T	376	535					5410	0
T	591	819					5420	0
T	850	1079					5430	0
T	1131	1226					5440	0
T	1282	1468					5450	0
T	1495	1570					5460	0
T	1629	1811					5470	0
T	1835	2006					5480	0
T	2033	2235					5490	0
T	2285	2586					5500	0
T	2606	2763					5510	0
O	2817	3312					5520	0
T	3354	3629					5530	0
T	3655	3935					5540	0
T	3984	4162					5550	0
T	4194	4405					5560	0
